feature,importance
tenure_days,0.25175366843229136
txn_count,0.2117504577003634
lifetime_revenue,0.15097790918535173
customer_health_score,0.11456298555071677
nps_score,0.056635455085616265
feature_adoption_score,0.04100769978337765
payment_failures_90d,0.04020513432465975
monthly_active_days,0.03566144573132038
mrr,0.021847304160143393
support_tickets_90d,0.01991747688640964
seats,0.01344580428722247
total_tickets,0.012097331059139994
acquisition_channel_Organic,0.0038364252252917077
region_North America,0.0038011313104691176
acquisition_channel_Referral,0.00352762308112048
acquisition_channel_Partner,0.0030511606973453
plan_Starter,0.0029797588521315497
segment_Mid-Market,0.00278493764503617
segment_SMB,0.002014489524159995
segment_Startup,0.0018255566659549206
region_APAC,0.001732053750242712
acquisition_channel_Paid Search,0.0015321573560631112
plan_Pro,0.0012033164926957011
region_Europe,0.000714627711132787
acquisition_channel_Sales,0.0006759685786342527
plan_Business,0.00019944900734640062
segment_Enterprise,0.0001842149558262797
region_LATAM,6.613267173051271e-05
plan_Free,8.324288206028647e-06
plan_Enterprise,0.0
